date	title
2017-09-25	BS 137 Seth Grant: "Genetic Lifespan Calendar"
2017-10-23	BS 138 John Medina: Brain Rules for Aging Well
2017-11-27	BS 139 Jeff Hawkins from Numenta
2017-12-22	BS 140 Brain Science Review of 2017
2018-01-25	BS 141 Rodrigo Quian Quiroga on Memory and Perception
2018-01-26	141 Premium Episode Transcript
2018-02-23	BS 142 Michael Graziano explores Peripersonal Neurons
2018-03-23	BS 143 Creativity with Elkhonon Goldberg
2018-03-24	143 Premium Episode Transcript
2018-04-20	BS Live #1 Memory
2018-04-27	BS 144 Language in the Brain with Angela Friederici
2018-05-25	BS 145 The Reading Brain with Maryanne Wolf
2018-06-21	BS 146 Alan Jasanoff on The Biological Mind
2018-06-21	BS 146 Premium Ad-free Version (Alan Jasanoff)
2018-07-15	Brain Science Live #2
2018-07-27	BS 147: Eve Marder's Life in Neuroscience
2018-08-15	BS 147 Eve Marder's Life in Neuroscience- ad free version
2018-08-15	Brain Science Live 3: On Creativity
2018-08-24	BS 148 Pioneering neuroscientist Eve Marder
2018-09-14	Brain Science Live #4: Language in the Brain
2018-09-28	BS 149 "Happy Brain" with Dr. Dean Burnett
2018-09-28	BS 149 Premium (Ad-Free) Version: Happy Brain
2018-10-12	Brain Science Live #5
2018-10-13	Announcements about Boston and Australia
2018-10-26	BS 150 Premium Ad-free Version
2018-10-26	BS 150 Seth Grant Explores the Synaptome
2018-11-11	Brain Science Live #6: Live from Boston
2018-11-21	151 Premium Version (Ad Free); Emotion
2018-11-21	BS 151 Neuroscience of Emotion
2018-12-28	BS 152 Twelfth Annual Review Episode
2019-01-25	BS 153 "Understanding the Brain" with John Dowling
2019-02-22	BS 154 Alan Castel explores the psychology of successful aging
2019-03-22	BS 155 Artificial Intelligence and Neuroscience with Paul Middlebrooks
2019-04-26	BS 156 Russell Poldrack talks about Brain Imaging (fMRI)
2019-05-24	BS 157 Donald MacKay, author of "Remembering: What 50 Years of Research with Famous Amnesia Patient H.M. Can Teach Us about Memory and How It Works"
2019-06-28	BS 158 Philosopher Patricia Churchland discusses "Conscience: The Origins of Moral Intuition"
2019-07-26	BS 159 Kevin Mitchell, author of "Innate: How the Wiring of Our Brains Shapes Who We Are"
2019-08-23	BS 160 Neuroscience of Consciousness
2019-09-27	BS 161 Joseph Ledoux
2019-09-27	BS 161 Premium Episode Transcript
2019-10-25	BS 162 "Rethinking Consciousness" with Michael Graziano
2019-11-22	BS 163 Christof Koch on the Integrated Information Theory of Consciousness
2019-12-15	Extra: Susan Schneider, author of "Artificial You"
2019-12-20	BS 164 Thirteenth Annual Review Episode
2020-01-03	Brain Science 2020 (Trailer)
2020-01-06	165 Free Episode Transcript
2020-01-10	BS 165: Magic as a Tool for Understanding the Brain
2020-01-24	BS 166: Stephen Macknik talks about Vision Research
2020-02-14	BS 167 Stanislas Dehaene explores "How We Learn"
2020-02-28	BS168 Cecilia Heyes author of "Cognitive Gadgets: The Cultural Evolution of Thinking"
2020-03-13	BS 169 Glial Cells with Doug Fields (Encore)
2020-03-27	BS 170 Numbers in the Brain with Andreas Nieder
2020-04-24	BS 171 Matthew Cobb, author of "The Idea of the Brain"
2020-04-24	BS 171 Premium Episode Transcript
2020-05-22	BS 172 "The Brain from the Inside Out" with György Buzsáki
2020-06-26	BS 173 Exploring the Unconscious Origins Of Certainty
2020-07-24	BS 174 Georg Northoff, author of "The Spontaneous Brain"
2020-08-28	BS 175 Carol Tavris explains Cognitive Dissonance
2020-08-28	BS 175 Premium Episode Transcript
2020-09-25	BS 176 Seth Grant on Synapse Complexity
2020-10-23	BS 177 Bernard Baars with David Edelman
2020-11-27	BS 178 Peter Sterling
2020-12-25	BS 179 14th Annual Review Episode
2021-01-22	BS 180 E Bruce Goldstein
2021-02-26	BS 181 Sir Simon Baron-Cohen
2021-03-26	BS 182 Iris Berent author of "The Blind Storyteller"
2021-04-23	BS 183 Jeff Hawkins shares his new theory of Intelligence
2021-05-28	BS 184 Mark Solms, author of  "The Hidden Spring: A Journey to the Source of Consciousness"
2021-06-25	BS 185 Stephen Fleming on "the neuroscience of self-awareness"
2021-07-23	BS 186 Mark Humphries author of "The Spike: An Epic Journey Through the Brain in 2.1 Seconds"
2021-08-27	BS 187 David Eagleman on his new book "LiveWired"
2021-09-24	BS 188 Anil Seth on Consciousness
2021-10-29	BS 189 Antonio Damasio, author of "Feeling and Knowing"
2021-11-24	BS 190 How our Brain gets things done with David Badre
2021-12-22	BS 191 15th Annual Review Episode
2022-01-28	BS 192 Nina Kraus talks about Sound and the Brain
2022-02-25	BS 193 "Embodied Mind:" What does this mean?
2022-03-25	BS 194 Mary-Frances O'Connor, author of "The Grieving Brain"
